country,league,team,historical_average_power,historical_rank,historical_percentile,historical_tier,seasons_available,historique_incomplet,usable_as_top_candidate,usable_as_bottom_target,data_status,season_1_label,season_1_rank,season_1_points,season_1_played,season_1_wins,season_1_draws,season_1_losses,season_1_goals_for,season_1_goals_against,season_1_goal_difference,season_1_points_per_match,season_1_season_power,season_2_label,season_2_rank,season_2_points,season_2_played,season_2_wins,season_2_draws,season_2_losses,season_2_goals_for,season_2_goals_against,season_2_goal_difference,season_2_points_per_match,season_2_season_power,season_3_label,season_3_rank,season_3_points,season_3_played,season_3_wins,season_3_draws,season_3_losses,season_3_goals_for,season_3_goals_against,season_3_goal_difference,season_3_points_per_match,season_3_season_power,season_4_label,season_4_rank,season_4_points,season_4_played,season_4_wins,season_4_draws,season_4_losses,season_4_goals_for,season_4_goals_against,season_4_goal_difference,season_4_points_per_match,season_4_season_power
Pays-Bas,Eredivisie,Zwolle,36.73,12,50.0,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,10,41,34,10,11,13,43,51,-8,1.206,44.66,2023-2024,12,36,34,9,9,16,45,67,-22,1.059,35.3,2022-2023,,,,,,,,,,,,2021-2022,18,27,34,7,6,21,26,52,-26,0.794,9.26
Pays-Bas,Eredivisie,Vitesse,31.36,13,45.45,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,,,,,,,,,,,,2023-2024,17,24,34,6,6,22,30,74,-44,0.706,12.06,2022-2023,10,40,34,10,10,14,45,50,-5,1.176,44.31,2021-2022,6,51,34,15,6,13,42,51,-9,1.5,63.38
Pays-Bas,Eredivisie,Heracles,26.57,14,40.91,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,14,38,34,9,11,14,42,63,-21,1.118,28.34,2023-2024,14,33,34,9,6,19,41,74,-33,0.971,26.62,2022-2023,,,,,,,,,,,,2021-2022,16,34,34,9,7,18,33,49,-16,1.0,19.31
Pays-Bas,Eredivisie,Waalwijk,25.45,15,36.36,MIDDLE_HISTORIQUE,4,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,17,25,34,6,7,21,44,74,-30,0.735,12.4,2023-2024,15,29,34,7,8,19,38,56,-18,0.853,21.42,2022-2023,9,41,34,11,8,15,50,64,-14,1.206,48.48,2021-2022,10,38,34,9,11,14,40,51,-11,1.118,43.63
Pays-Bas,Eredivisie,Groningen,25.38,16,31.82,MIDDLE_HISTORIQUE,3,False,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,13,39,34,10,9,15,40,53,-13,1.147,32.5,2023-2024,,,,,,,,,,,,2022-2023,18,18,34,4,6,24,31,75,-44,0.529,6.17,2021-2022,12,36,34,9,9,16,41,55,-14,1.059,35.3
Pays-Bas,Eredivisie,Cambuur,22.83,17,27.27,HISTORIQUE_INCOMPLET_SHADOW,2,True,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,,,,,,,,,,,,2023-2024,,,,,,,,,,,,2022-2023,17,19,34,5,4,25,26,69,-43,0.559,10.35,2021-2022,9,39,34,11,6,17,53,70,-17,1.147,47.79
Pays-Bas,Eredivisie,NAC Breda,22.8,18,22.73,HISTORIQUE_INCOMPLET_SHADOW,1,True,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,15,33,34,8,9,17,34,58,-24,0.971,22.8,2023-2024,,,,,,,,,,,,2022-2023,,,,,,,,,,,,2021-2022,,,,,,,,,,,
Pays-Bas,Eredivisie,Excelsior,19.54,19,18.18,HISTORIQUE_INCOMPLET_SHADOW,2,True,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,,,,,,,,,,,,2023-2024,16,29,34,6,11,17,50,73,-23,0.853,17.6,2022-2023,15,32,34,9,5,20,32,71,-39,0.941,22.45,2021-2022,,,,,,,,,,,
Pays-Bas,Eredivisie,Almere City,17.51,20,13.64,HISTORIQUE_INCOMPLET_SHADOW,2,True,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,18,22,34,4,10,20,23,64,-41,0.647,7.55,2023-2024,13,34,34,7,13,14,33,59,-26,1.0,30.78,2022-2023,,,,,,,,,,,,2021-2022,,,,,,,,,,,
Pays-Bas,Eredivisie,FC Emmen,17.26,21,9.09,HISTORIQUE_INCOMPLET_SHADOW,1,True,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,,,,,,,,,,,,2023-2024,,,,,,,,,,,,2022-2023,16,28,34,6,10,18,33,65,-32,0.824,17.26,2021-2022,,,,,,,,,,,
Pays-Bas,Eredivisie,Willem II,16.29,22,4.55,HISTORIQUE_INCOMPLET_SHADOW,2,True,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,16,26,34,6,8,20,34,56,-22,0.765,16.57,2023-2024,,,,,,,,,,,,2022-2023,,,,,,,,,,,,2021-2022,17,33,34,9,6,19,32,57,-25,0.971,15.15
Pays-Bas,Eredivisie,Volendam,14.97,23,0.0,HISTORIQUE_INCOMPLET_SHADOW,2,True,False,False,FOOTBALL_DATA_COMPUTED_STANDINGS_NEEDS_SECOND_SOURCE_CHECK,2024-2025,,,,,,,,,,,,2023-2024,18,19,34,4,7,23,34,88,-54,0.559,6.52,2022-2023,14,36,34,10,6,18,42,71,-29,1.059,27.65,2021-2022,,,,,,,,,,,
