market,observed_predictions,abstentions,stored_resolved,stored_wins,stored_losses,stored_winrate,last20_n,last20_sequence,last20_wins,last20_rate,last10_n,last10_sequence,last10_wins,last10_rate,known_outcome_at_prediction,unknown_snapshot,outcome_mismatch,future_or_unproven_time,verified_predictive,verified_wins,verified_winrate,predictive_independent_events,predictive_last20_n,predictive_last20_rate,predictive_last10_n,predictive_last10_rate,priced_n,profit_units,roi_pct,latest_prediction,independent_events,decision
ou25,309,307,2,2,0,100.0,2,WW,2,100.0,2,WW,2,100.0,2,0,0,0,0,0,,0,0,,0,,0,,,2026-09-11 10:56:41,1,échantillon insuffisant
ou05,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,,0,0,,0,,0,,,,0,échantillon insuffisant
ou15,309,300,8,8,0,100.0,8,WWWWWWWW,8,100.0,8,WWWWWWWW,8,100.0,8,0,0,0,0,0,,0,0,,0,,0,,,2026-09-11 10:56:41,5,échantillon insuffisant
ou35,309,309,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,,0,0,,0,,0,,,2026-09-11 10:56:41,0,échantillon insuffisant
btts,309,303,6,6,0,100.0,6,WWWWWW,6,100.0,6,WWWWWW,6,100.0,6,0,0,0,0,0,,0,0,,0,,0,,,2026-09-11 10:56:41,3,échantillon insuffisant
